wave,flux,model,residual,C2H2_model,HCN_model,13C12CH2_model
24.065405144018808,0.00040598974145421296,0.0,0.00040598974145421296,0.0,0.0,0.0
24.07141253339932,0.0009247975668789446,0.0,0.0009247975668789446,0.0,0.0,0.0
24.077420019615943,0.0002703404740634907,0.0,0.0002703404740634907,0.0,0.0,0.0
24.083427603068284,0.00016401242691831824,0.0,0.00016401242691831824,0.0,0.0,0.0
24.08943528415595,-0.0006479619483021337,0.0,-0.0006479619483021337,0.0,0.0,0.0
24.09544306327855,-0.00024369627246487516,0.0,-0.00024369627246487516,0.0,0.0,0.0
24.101450940835697,0.001452446447315986,0.0,0.001452446447315986,0.0,0.0,0.0
24.107458917226992,0.001033079173463753,0.0,0.001033079173463753,0.0,0.0,0.0
24.113466992852043,-4.731973730496761e-05,0.0,-4.731973730496761e-05,0.0,0.0,0.0
24.11947516811046,0.0005862095804352666,0.0,0.0005862095804352666,0.0,0.0,0.0
24.125483443401844,0.0018486370514130858,0.0,0.0018486370514130858,0.0,0.0,0.0
24.131491819125813,-0.0007062352714854586,0.0,-0.0007062352714854586,0.0,0.0,0.0
